month,ipca_12m,ipca_mom,ipca_yoy,month_key
1989-08-01,1169.15,0.10913472028535942,1.1442850854669504,1989-08
1989-09-01,1269.82,0.08610529016807078,0.9152928400126699,1989-09
1989-10-01,1424.12,0.12151328534752959,0.8694636246685394,1989-10
1989-11-01,1660.95,0.1662991882706515,0.935636122085096,1989-11
1989-12-01,1972.91,0.1878202233661459,1.0127421674947206,1989-12
1990-01-01,2426.12,0.22971651012970673,1.1111014427176693,1990-01
1990-02-01,3701.29,0.5256005473760572,2.1883484942457443,1990-02
1990-03-01,6390.53,0.7265683045640843,5.113643103827646,1990-03
1990-04-01,6821.31,0.06740911943140881,6.256172412692671,1990-04
1990-05-01,6214.99,-0.08888615236662756,5.58019057702488,1990-05
1990-06-01,5385.43,-0.13347728636731504,4.377686131969964,1990-06
1990-07-01,4749.03,-0.11817069389073864,3.505250875145858,1990-07
1990-08-01,3993.62,-0.15906616719624844,2.415832014711542,1990-08
1990-09-01,3304.71,-0.17250264171353302,1.6025027169205086,1990-09
1990-10-01,2685.74,-0.1872993394276654,0.8858944470971548,1990-10
1990-11-01,2101.34,-0.21759366133728497,0.265143442006081,1990-11
1990-12-01,1620.97,-0.22860174935993227,-0.17838624164305517,1990-12
1991-01-01,1140.27,-0.29655083067545973,-0.5300026379569024,1991-01
1991-02-01,752.02,-0.34048953318073794,-0.7968221890205847,1991-02
1991-03-01,422.84,-0.43772772000744664,-0.9338333440262389,1991-03
1991-04-01,375.18,-0.11271402894711946,-0.9449988345347154,1991-04
1991-05-01,374.48,-0.0018657710965402918,-0.9397456793977143,1991-05
1991-06-01,372.1,-0.006355479598376457,-0.9309061671955629,1991-06
1991-07-01,369.96,-0.005751142166084522,-0.9220977757563124,1991-07
1991-08-01,381.41,0.03094929181533157,-0.9044951697958243,1991-08
1991-09-01,386.55,0.013476311580713718,-0.8830305836215583,1991-09
1991-10-01,411.52,0.06459707670417791,-0.8467759351240254,1991-10
1991-11-01,448.31,0.08940027216174196,-0.7866551819315294,1991-11
1991-12-01,472.7,0.05440431844036486,-0.7083844858325571,1991-12
1992-01-01,497.32,0.05208377406388842,-0.5638576828295052,1992-01
1992-02-01,515.13,0.035811952063057984,-0.3150049200819127,1992-02
1992-03-01,567.21,0.1011006930289442,0.3414293822722545,1992-03
1992-04-01,662.16,0.16739831808324945,0.7649128418359186,1992-04
1992-05-01,785.81,0.18673734444847168,1.0984031189916683,1992-05
1992-06-01,857.68,0.0914597676283071,1.3049717817790913,1992-06
1992-07-01,937.94,0.09357802443801888,1.5352470537355392,1992-07
1992-08-01,996.37,0.06229609569908523,1.6123331847618045,1992-08
1992-09-01,1081.7,0.08564087638126394,1.798344328030009,1992-09
1992-10-01,1130.94,0.04552093926227241,1.7482017884914467,1992-10
1992-11-01,1104.2,-0.023644048313792076,1.463027815574045,1992-11
1992-12-01,1119.1,0.0134939322586487,1.3674635075100485,1992-12
1993-01-01,1161.79,0.038146725046912744,1.3361015040617712,1993-01
1993-02-01,1168.49,0.005766963048399409,1.2683400306718693,1993-02
