month,ipca_12m,ipca_mom,ipca_yoy,month_key,usdbrl_avg,mom,yoy
2001-04-01,6.61,0.026397515527950333,-0.023633677991137247,2001-04,2.191655,0.04951753860888308,0.24006685527099458
2001-05-01,7.04,0.06505295007564293,0.08809891808346215,2001-05,2.2964318181818184,0.047807167725676836,0.25685065266227003
2001-06-01,7.35,0.04403409090909083,0.12903225806451601,2001-06,2.375025,0.034224043229120094,0.3139626324816045
2001-07-01,7.05,-0.04081632653061218,-0.0014164305949008194,2001-07,2.4652227272727276,0.03797759066650985,0.37183642988346555
2001-08-01,6.41,-0.09078014184397154,-0.18447837150127233,2001-08,2.5098304347826086,0.018094798095274145,0.3878434681841896
2001-09-01,6.46,0.007800312012480548,-0.16859716859716856,2001-09,2.670863157894737,0.06416079782938655,0.4528272879501831
2001-10-01,7.19,0.11300309597523217,0.08120300751879705,2001-10,2.7393727272727273,0.025650722379948476,0.45801425584016653
2001-11-01,7.61,0.05841446453407517,0.27045075125208684,2001-11,2.542265,-0.07195359919822386,0.3055936442397069
2001-12-01,7.67,0.007884362680683266,0.2847571189279732,2001-12,2.3619,-0.0709465771664245,0.2035465871741955
2002-01-01,7.62,-0.006518904823989535,0.2871621621621623,2002-01,2.377131818181818,0.0064489682805446424,0.21672762298285786
2002-02-01,7.51,-0.014435695538057791,0.19776714513556626,2002-02,2.4188,0.017528763655207058,0.20876204225547634
2002-03-01,7.75,0.031957390146471365,0.20341614906832284,2002-03,2.3458449999999997,-0.030161650405159723,0.12335448341913069
2002-04-01,7.98,0.029677419354838808,0.20726172465960668,2002-04,2.3196,-0.01118786620599399,0.05837825752684611
2002-05-01,7.77,-0.026315789473684292,0.10369318181818166,2002-05,2.479561904761905,0.0689609867054255,0.07974549260734354
2002-06-01,7.66,-0.014157014157014092,0.042176870748299455,2002-06,2.713175,0.09421547201118474,0.14237744865843527
2002-07-01,7.51,-0.019582245430809442,0.0652482269503547,2002-07,2.9338347826086957,0.0813289900609786,0.19008913480786904
2002-08-01,7.46,-0.0066577896138482195,0.1638065522620904,2002-08,3.1093090909090906,0.05981056238769078,0.23885225384893638
2002-09-01,7.93,0.06300268096514738,0.22755417956656343,2002-09,3.341242857142857,0.07459334516207727,0.25099739657816666
2002-10-01,8.45,0.06557377049180313,0.17524339360222507,2002-10,3.8051304347826087,0.13883683332028984,0.38905173323052367
2002-11-01,10.93,0.29349112426035506,0.43626806833114307,2002-11,3.5756,-0.06032130533147462,0.4064623475522813
2002-12-01,12.53,0.1463860933211345,0.633637548891786,2002-12,3.6251190476190476,0.013849157517352939,0.5348317234510553
2003-01-01,14.47,0.15482841181165208,0.8989501312335959,2003-01,3.4375545454545455,-0.05174023244497117,0.4460933630865309
2003-02-01,15.85,0.0953697304768486,1.1105193075898803,2003-02,3.589955,0.04433397420470664,0.48418844054903243
2003-03-01,16.57,0.045425867507886464,1.1380645161290324,2003-03,3.4460894736842107,-0.04007446508822232,0.469018402189493
2003-04-01,16.77,0.012070006035002967,1.1015037593984962,2003-04,3.11787,-0.0952440371007871,0.34414123124676665
2003-05-01,17.24,0.02802623732856291,1.2187902187902186,2003-05,2.954942857142857,-0.05225591280494146,0.1917197354371356
2003-06-01,16.57,-0.03886310904872381,1.1631853785900783,2003-06,2.882405,-0.024547972888042335,0.06237341859629386
2003-07-01,15.43,-0.06879903439951718,1.0545938748335555,2003-07,2.8790304347826083,-0.0011707463792879347,-0.01868010705679768
2003-08-01,15.07,-0.02333117303953336,1.020107238605898,2003-08,3.0017428571428573,0.042622829157245246,-0.03459489893775192
2003-09-01,15.14,0.004644990046450026,0.909205548549811,2003-09,2.9220454545454544,-0.026550376361438643,-0.12546151851884957
2003-10-01,13.98,-0.07661822985468958,0.6544378698224853,2003-10,2.8607,-0.020994011044567107,-0.2481992275874677
2003-11-01,11.02,-0.2117310443490702,0.008234217749313766,2003-11,2.913,0.018282238612926882,-0.1853115561024724
2003-12-01,9.3,-0.1560798548094373,-0.2577813248204309,2003-12,2.924454545454545,0.003932216084636231,-0.19328041174942767
