month,usdbrl_avg,mom,yoy,month_key
2005-01-01,2.692223809523809,-0.009250541701305237,-0.05570244372549993,2005-01
2005-02-01,2.597038888888889,-0.03535550064530335,-0.1134906848317504,2005-02
2005-03-01,2.703936363636364,0.04116129150195724,-0.06910288930912489,2005-03
2005-04-01,2.57838,-0.04643465923418044,-0.11249025449325956,2005-04
2005-05-01,2.4520142857142857,-0.049009732578485066,-0.20893043692005164,2005-05
2005-06-01,2.4127136363636366,-0.016027903907256613,-0.22875782036711356,2005-06
2005-07-01,2.3727095238095237,-0.016580547293795656,-0.21846927342836253,2005-07
2005-08-01,2.3598304347826087,-0.00542800915901287,-0.21394366748855131,2005-08
2005-09-01,2.2936095238095238,-0.02806172426502551,-0.20645893639420543,2005-09
2005-10-01,2.25565,-0.016550124777331532,-0.2091141299869742,2005-10
2005-11-01,2.210035,-0.020222552257664117,-0.20651900733868533,2005-11
2005-12-01,2.2846818181818183,0.03377630588738101,-0.1592276742590426,2005-12
2006-01-01,2.2730681818181817,-0.005083262041660985,-0.15569122679282976,2006-01
2006-02-01,2.161122222222222,-0.049248834896987614,-0.1678514205280801,2006-02
2006-03-01,2.1511608695652176,-0.004609342569603325,-0.20443361815207484,2006-03
2006-04-01,2.128488888888889,-0.01053941664572522,-0.17448596060747867,2006-04
2006-05-01,2.1773,0.022932283727631342,-0.11203616851451581,2006-05
2006-06-01,2.247490476190476,0.03223739318903052,-0.06848021981679497,2006-06
2006-07-01,2.1884809523809525,-0.02625573920542046,-0.0776448063194779,2006-07
2006-08-01,2.155082608695652,-0.015260970697033027,-0.08676378737602752,2006-08
2006-09-01,2.167945,0.00596839826577833,-0.054788978902042484,2006-09
2006-10-01,2.147480952380952,-0.009439375823209417,-0.0479547126633334,2006-10
2006-11-01,2.1571000000000002,0.004479223719485503,-0.023952109355734108,2006-11
2006-12-01,2.14912,-0.003699411246581241,-0.059335097387740565,2006-12
2007-01-01,2.137677272727273,-0.005324378011803521,-0.05956306554016888,2007-01
2007-02-01,2.09545,-0.019753810954540763,-0.030388018570598585,2007-02
2007-03-01,2.087877272727273,-0.0036138907025827782,-0.029418346964787956,2007-03
2007-04-01,2.031235,-0.027129119832452808,-0.04569151823933515,2007-04
2007-05-01,1.9808136363636364,-0.02482300848319552,-0.09024312847855753,2007-05
2007-06-01,1.93107,-0.0251127291585872,-0.1407883501810484,2007-06
2007-07-01,1.882018181818182,-0.02540136721186592,-0.14003447013297288,2007-07
2007-08-01,1.9652130434782609,0.04420513173773166,-0.08810314948080256,2007-08
